Chart number	French equivalent	Latin etymon
C 001	il fait	facit
C 002	chaud	caldu
C 003	aujourd'hui	hŏdie
C 004	c'est	est
C 005	un bon	bŏnu
C 006	temps	tĕmpus
C 007	une	ūna
C 008	bonne	bŏna
C 009	saison	satiōne
C 010	il pleut	plŏvet
C 011	chaque	*cata + quisque
C 012	jour	diŭrnu
C 013	hier	hĕri
C 014	il y avait	habēbat
C 015	peu de	paucu
C 016	rosée	rosata
C 017	il faisait	faciēbat
C 018	froid	frĭgidu
C 019	la matinée	matutinata
C 020	était	ĕrat / ĕst + ēbat
C 021	froide	frĭgida
C 022	les matinées	matutinatas
C 023	sont	sŭnt
C 024	froides	frĭgidas
C 025	la gelée	gelata
C 026	est dangereuse	dominiariu + ōsa
C 027	les gelées	gelatas
C 028	sont dangereuses	dominiariu + ōsas
C 029	nuit	nŏcte
C 030	on voit	hŏmo vĭdet
C 031	la lune	lūna
C 032	les étoiles	stēllas
C 033	il ne faut pas	fallit
C 034	avoir	habēre
C 035	peur	pavōre
C 036	du tonnerre	tonĭtru
C 037	au mois	mēse
C 038	de février	febrariu
C 039	il y a	habet
C 040	de la neige	nĭve
C 041	de la glace	glacia
C 042	il fait	facit
C 043	du vent	vĕntu (aura)
C 044	l'hiver	hibĕrnu
C 045	arrive	adrīpat
C 046	il est là 	illac
C 047	je dois	dēbeo
C 048	descendre	descĕndere
C 049	en ville	vīlla
C 050	il faut	fallit
C 051	suivre	sĕquere
C 052	le sentier	semitariu
C 053	jusqu'à 	tantu + que
C 054	la croisée	cruciata
C 055	traverser	transversare
C 056	le champ	campu
C 057	le pré	pratu
C 058	passer	passare
C 059	vers la croix	crŭce
C 060	le puits	pŭteu
C 061	le "chable"	catabolu
C 062	c'est	est
C 063	un lieu	ūnu lŏcu
C 064	dangereux	dominiaru + ōsu
C 065	la rive	rīpa
C 066	est étroite	strĭcta
C 067	le grenier	granariu
C 068	et le "battoir"	batt + atōriu
C 069	sont tout près	prĕssu
C 070	du village	villaticu
C 071	allons-y	ambulemus
C 072	ensemble	insĭmul
C 073	prends garde	cavica
C 074	de t'"encoubler"	incopulare
C 075	le pont	pŏnte
C 076	est en	est ĭn
C 077	pierre	pĕtra
C 078	en fer	fĕrru
C 079	il est neuf	nŏvu
C 080	large	largu
C 081	le mur	mūru
C 082	est commencé	cuminitiatu
C 083	la tour	tŭrre
C 084	(est) commencée	cuminitiata
C 085	les tours	tŭrres
C 086	(sont) commencées	cuminitiatas
C 087	le bœuf	bŏve
C 088	a des cornes	habet cŏrn(u)as
C 089	l'échelle	scala
C 090	est dressée	directiata
C 091	contre	contra
C 092	le faîte	frĕsta
C 093	du toit	tēctu
C 094	il ferme	claudit
C 095	la fenêtre	fenĕstra
C 096	de la chambre	pē(n)sile
C 097	il balaie	scōpat
C 098	devant	de+abante
C 099	la porte	pŏrta
C 100	de la grange	granica
C 101	on a	hŏmo habet
C 102	perdu	perdūtu
C 103	la clef	clave
C 104	du clocher	cloccariu
C 105	elle est	ĭlla est
C 106	perdue	perdūta
C 107	qui a	cui / qualis habet
C 108	fait cela?	factu
C 109	je vais	vado
C 110	au marché	mercatu
C 111	chercher	circare
C 112	une pelle	pala
C 113	(une) faux	falce
C 114	(un) manche de faux	falcariu
C 115	(un) fléau	flagĕllu
C 116	(un) van	vannu
C 117	(une) chaudière	caldaria
C 118	(une) charrue	carrūca
C 119	(une) cuve	cūpa
C 120	(un) pétrin	magide
C 121	(un) joug	jŭgu
C 122	(un) manche	manicu
C 123	(une) cage	cavea
C 124	(un) lit	lĕctu
C 125	(une) bouteille	buttŭcula
C 126	(un) couteau	cultĕllu
C 127	(des) ciseaux	fŏrfices
C 128	(un) miroir	miratōriu
C 129	(une) bobine	spōla
C 130	(une) couronne	corōna
